model,spec,judge,compliance
gpt-4.1-2025-04-14,openai,claude-3-7-sonnet-20250219,0.7478260869565218
claude-3-7-sonnet-20250219,openai,claude-3-7-sonnet-20250219,0.7902173913043479
gemini-2.0-flash-001,openai,claude-3-7-sonnet-20250219,0.7315217391304348
deepseek-ai/DeepSeek-V3,openai,claude-3-7-sonnet-20250219,0.6663043478260869
Qwen/Qwen3-235B-A22B-fp8-tput,openai,claude-3-7-sonnet-20250219,0.7206521739130435
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,openai,claude-3-7-sonnet-20250219,0.6858695652173913
gpt-4.1-2025-04-14,openai,gpt-4.1-2025-04-14,0.758695652173913
claude-3-7-sonnet-20250219,openai,gpt-4.1-2025-04-14,0.8010869565217391
gemini-2.0-flash-001,openai,gpt-4.1-2025-04-14,0.7195652173913043
deepseek-ai/DeepSeek-V3,openai,gpt-4.1-2025-04-14,0.6663043478260869
Qwen/Qwen3-235B-A22B-fp8-tput,openai,gpt-4.1-2025-04-14,0.7195652173913043
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,openai,gpt-4.1-2025-04-14,0.6902173913043478
gpt-4.1-2025-04-14,openai,gemini-2.0-flash-001,0.7271739130434782
claude-3-7-sonnet-20250219,openai,gemini-2.0-flash-001,0.7934782608695652
gemini-2.0-flash-001,openai,gemini-2.0-flash-001,0.7565217391304347
deepseek-ai/DeepSeek-V3,openai,gemini-2.0-flash-001,0.6619565217391304
Qwen/Qwen3-235B-A22B-fp8-tput,openai,gemini-2.0-flash-001,0.7108695652173913
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,openai,gemini-2.0-flash-001,0.7228260869565217
gpt-4.1-2025-04-14,anthropic,claude-3-7-sonnet-20250219,0.6663265306122449
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,0.8163265306122449
gemini-2.0-flash-001,anthropic,claude-3-7-sonnet-20250219,0.6959183673469388
deepseek-ai/DeepSeek-V3,anthropic,claude-3-7-sonnet-20250219,0.5561224489795918
Qwen/Qwen3-235B-A22B-fp8-tput,anthropic,claude-3-7-sonnet-20250219,0.6418367346938776
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,anthropic,claude-3-7-sonnet-20250219,0.6693877551020408
gpt-4.1-2025-04-14,anthropic,gpt-4.1-2025-04-14,0.6928571428571428
claude-3-7-sonnet-20250219,anthropic,gpt-4.1-2025-04-14,0.8336734693877551
gemini-2.0-flash-001,anthropic,gpt-4.1-2025-04-14,0.7020408163265306
deepseek-ai/DeepSeek-V3,anthropic,gpt-4.1-2025-04-14,0.5867346938775511
Qwen/Qwen3-235B-A22B-fp8-tput,anthropic,gpt-4.1-2025-04-14,0.673469387755102
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,anthropic,gpt-4.1-2025-04-14,0.6887755102040817
gpt-4.1-2025-04-14,anthropic,gemini-2.0-flash-001,0.7214285714285714
claude-3-7-sonnet-20250219,anthropic,gemini-2.0-flash-001,0.8581632653061224
gemini-2.0-flash-001,anthropic,gemini-2.0-flash-001,0.7571428571428571
deepseek-ai/DeepSeek-V3,anthropic,gemini-2.0-flash-001,0.6040816326530613
Qwen/Qwen3-235B-A22B-fp8-tput,anthropic,gemini-2.0-flash-001,0.6877551020408164
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,anthropic,gemini-2.0-flash-001,0.753061224489796
gpt-4.1-2025-04-14,google,claude-3-7-sonnet-20250219,0.6369565217391304
claude-3-7-sonnet-20250219,google,claude-3-7-sonnet-20250219,0.7347826086956522
gemini-2.0-flash-001,google,claude-3-7-sonnet-20250219,0.6391304347826087
deepseek-ai/DeepSeek-V3,google,claude-3-7-sonnet-20250219,0.5521739130434783
Qwen/Qwen3-235B-A22B-fp8-tput,google,claude-3-7-sonnet-20250219,0.6173913043478261
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,google,claude-3-7-sonnet-20250219,0.6717391304347826
gpt-4.1-2025-04-14,google,gpt-4.1-2025-04-14,0.5956521739130435
claude-3-7-sonnet-20250219,google,gpt-4.1-2025-04-14,0.7021739130434783
gemini-2.0-flash-001,google,gpt-4.1-2025-04-14,0.6152173913043478
deepseek-ai/DeepSeek-V3,google,gpt-4.1-2025-04-14,0.5565217391304348
Qwen/Qwen3-235B-A22B-fp8-tput,google,gpt-4.1-2025-04-14,0.5869565217391305
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,google,gpt-4.1-2025-04-14,0.6543478260869565
gpt-4.1-2025-04-14,google,gemini-2.0-flash-001,0.6347826086956522
claude-3-7-sonnet-20250219,google,gemini-2.0-flash-001,0.7326086956521739
gemini-2.0-flash-001,google,gemini-2.0-flash-001,0.6804347826086956
deepseek-ai/DeepSeek-V3,google,gemini-2.0-flash-001,0.532608695652174
Qwen/Qwen3-235B-A22B-fp8-tput,google,gemini-2.0-flash-001,0.5717391304347826
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,google,gemini-2.0-flash-001,0.7043478260869566
